Year,Month,Label,Cpi,,,,,,,
2019,1,2019 Jan,252.561,,,,,,,
2019,2,2019 Feb,253.319,,,,,,,
2019,3,2019 Mar,254.277,,,,,,,
2019,4,2019 Apr,255.233,,,,,,,
2019,5,2019 May,255.296,,,,,,,
2019,6,2019 Jun,255.213,,,,,,,
2019,7,2019 Jul,255.802,,,,,,,
2019,8,2019 Aug,256.036,,,,,,,
2019,9,2019 Sep,256.430,,,,,,,
2019,10,2019 Oct,257.155,,,,,,,
2019,11,2019 Nov,257.879,,,,,,,
2019,12,2019 Dec,258.630,,,,,,,
2020,1,2020 Jan,258.906,,,,,,,
2020,2,2020 Feb,259.246,,,,,,,
2020,3,2020 Mar,258.150,,,,,,,
2020,4,2020 Apr,256.126,,,,,,,
2020,5,2020 May,255.848,,,,,,,
2020,6,2020 Jun,257.004,,,,,,,
2020,7,2020 Jul,258.408,,,,,,,
2020,8,2020 Aug,259.366,,,,,,,
2020,9,2020 Sep,259.951,,,,,,,
2020,10,2020 Oct,260.249,,,,,,,
2020,11,2020 Nov,260.895,,,,,,,
2020,12,2020 Dec,262.005,,,,,,,
2021,1,2021 Jan,262.518,,,,,,,
2021,2,2021 Feb,263.583,,,,,,,
2021,3,2021 Mar,264.910,,,,,,,
2021,4,2021 Apr,266.752,,,,,,,
2021,5,2021 May,268.452,,,,,,,
2021,6,2021 Jun,270.664,,,,,,,
2021,7,2021 Jul,271.994,,,,,,,
2021,8,2021 Aug,272.789,,,,,,,
2021,9,2021 Sep,273.887,,,,,,,
2021,10,2021 Oct,276.434,,,,,,,
2021,11,2021 Nov,278.799,,,,,,,
2021,12,2021 Dec,280.808,,,,,,,
2022,1,2022 Jan,282.390,,,,,,,
2022,2,2022 Feb,284.535,,,,,,,
2022,3,2022 Mar,287.553,,,,,,,
2022,4,2022 Apr,288.764,,,,,,,
2022,5,2022 May,291.359,,,,,,,
2022,6,2022 Jun,294.996,,,,,,,
2022,7,2022 Jul,294.977,,,,,,,
2022,8,2022 Aug,295.209,,,,,,,
2022,9,2022 Sep,296.341,,,,,,,
2022,10,2022 Oct,297.863,,,,,,,
2022,11,2022 Nov,298.648,,,,,,,
2022,12,2022 Dec,298.812,,,,,,,
2023,1,2023 Jan,300.356,,,,,,,
2023,2,2023 Feb,301.509,,,,,,,
2023,3,2023 Mar,301.744,,,,,,,
2023,4,2023 Apr,303.032,,,,,,,
2023,5,2023 May,303.365,,,,,,,
2023,6,2023 Jun,304.003,,,,,,,
2023,7,2023 Jul,304.628,,,,,,,
2023,8,2023 Aug,306.187,,,,,,,
2023,9,2023 Sep,307.288,,,,,,,
2023,10,2023 Oct,307.531,,,,,,,
2023,11,2023 Nov,308.024,,,,,,,
2023,12,2023 Dec,308.742,,,,,,,