Year,Month,all_items,core_items
2019,JAN,102.714,102.878
2019,FEB,102.862,102.959
2019,MAR,103.056,103.049
2019,APR,103.371,103.274
2019,MAY,103.426,103.381
2019,JUN,103.469,103.586
2019,JUL,103.608,103.706
2019,AUG,103.661,103.811
2019,SEP,103.754,103.889
2019,OCT,103.961,104.048
2019,NOV,103.997,104.066
2019,DEC,104.282,104.279
2020,JAN,104.458,104.475
2020,FEB,104.551,104.664
2020,MAR,104.238,104.586
2020,APR,103.796,104.237
2020,MAY,103.89,104.364
2020,JUN,104.199,104.527
2020,JUL,104.541,104.913
2020,AUG,104.869,105.229
2020,SEP,105.048,105.39
2020,OCT,105.124,105.47
2020,NOV,105.197,105.552
2020,DEC,105.707,105.899
2021,JAN,106.145,106.267
2021,FEB,106.522,106.499
2021,MAR,107.066,106.945
2021,APR,107.662,107.594
2021,MAY,108.207,108.167
2021,JUN,108.755,108.655
2021,JUL,109.28,109.12
2021,AUG,109.74,109.458
2021,SEP,110.096,109.684
2021,OCT,110.808,110.217
2021,NOV,111.494,110.778
2021,DEC,112.24,111.446
2022,JAN,112.829,111.973
2022,FEB,113.496,112.436
2022,MAR,114.446,112.88
2022,APR,114.789,113.248
2022,MAY,115.446,113.656
2022,JUN,116.495,114.297
2022,JUL,116.511,114.534
2022,AUG,116.89,115.158
2022,SEP,117.314,115.686
2022,OCT,117.842,116.087
2022,NOV,118.104,116.417
2022,DEC,118.348,116.868
2023,JAN,119.011,117.461
2023,FEB,119.386,117.883
2023,MAR,119.53,118.279
2023,APR,119.893,118.642
2023,MAY,120.02,118.984
2023,JUN,120.221,119.189
2023,JUL,120.373,119.332
2023,AUG,120.803,119.449
2023,SEP,121.267,119.842
2023,OCT,121.299,120.01
2023,NOV,121.218,120.088
2023,DEC,121.421,120.294